"politc_id","content","person_election","person_id","name","type","organization_id","party","victor","now"
11341,"鶯歌老街翻新",77090,452,"蘇巧慧","legislator",NA,"民主進步黨","y","y"
11346,"鶯歌國小歷史校舍資產活化",77090,452,"蘇巧慧","legislator",NA,"民主進步黨","y","y"
11335,"坡內里、東山里高地自來水通水",77090,452,"蘇巧慧","legislator",NA,"民主進步黨","y","y"
11349,"新莊光華里及民安西路電桿地下化",77090,452,"蘇巧慧","legislator",NA,"民主進步黨","y","y"
11347,"未來推動建立鶯歌藝術學院，培育一流職人，點亮鶯歌工藝城招牌",77090,452,"蘇巧慧","legislator",NA,"民主進步黨","y","y"
11345,"完善鶯歌工藝之家",77090,452,"蘇巧慧","legislator",NA,"民主進步黨","y","y"
11332,"爭取樹林捷運動工",77090,452,"蘇巧慧","legislator",NA,"民主進步黨","y","y"
11340,"鶯歌陶博館升級",77090,452,"蘇巧慧","legislator",NA,"民主進步黨","y","y"
11343,"新設鳳鳴簡易車站、鶯歌車站增設手扶梯",77090,452,"蘇巧慧","legislator",NA,"民主進步黨","y","y"
11336,"推動醫養專區",77090,452,"蘇巧慧","legislator",NA,"民主進步黨","y","y"
11337,"加速柑園都市計畫",77090,452,"蘇巧慧","legislator",NA,"民主進步黨","y","y"
11334,"新樹鶯堤外便道完成",77090,452,"蘇巧慧","legislator",NA,"民主進步黨","y","y"
11350,"新莊民安段綠美化步道",77090,452,"蘇巧慧","legislator",NA,"民主進步黨","y","y"
11339,"爭取三鶯線動工",77090,452,"蘇巧慧","legislator",NA,"民主進步黨","y","y"
11344,"推動地方創生",77090,452,"蘇巧慧","legislator",NA,"民主進步黨","y","y"
11352,"新莊將與樹林共同規劃工業聚落，促使產業再創生並接軌國際",77090,452,"蘇巧慧","legislator",NA,"民主進步黨","y","y"
11348,"汰換新莊民安西路自來水管",77090,452,"蘇巧慧","legislator",NA,"民主進步黨","y","y"
11338,"串聯鐵路沿線產業， 結合大漢溪自然景觀，讓樹林成為鐵道觀光大城",77090,452,"蘇巧慧","legislator",NA,"民主進步黨","y","y"
11333,"台65線浮洲橋增設匝道",77090,452,"蘇巧慧","legislator",NA,"民主進步黨","y","y"
11329,"強健電網，不要動不動停電；推動電線桿下地。",77096,38507,"葉元之","legislator",NA,"中國國民黨","y",NA
11330,"檢討教育制度，讓孩子快樂學習，支持多元社團活動",77096,38507,"葉元之","legislator",NA,"中國國民黨","y",NA
